FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
122,0,,3262561.7057,13690182.8249,3262235.39238,13690209.3911,"3262561.7057,13690182.8249","3262235.39238,13690209.3911",89,104,90,105,327.392958521,125,38216.2255435,122,3283156.30162,13658108.7958,11648.3055457,-94.93818,29.33055
123,47,IH 45,3263646.85612,13690270.5749,3264406.3234,13689658.0539,"3263646.85612,13690270.5749","3264406.3234,13689658.0539",90,83,91,84,975.828203179,125,37157.6681807,123,3283156.30162,13658108.7958,11325.6572615,-94.9331,29.32976
124,45,HWY 6,3264026.04988,13690432.2811,3263394.0167,13690266.8893,"3264026.04988,13690432.2811","3263394.0167,13690266.8893",91,87,92,88,661.548918476,125,37619.3739722,124,3283156.30162,13658108.7958,11466.3851867,-94.93403,29.33076
125,47,IH 45,3262675.95022,13691172.1303,3263646.85612,13690270.5749,"3262675.95022,13691172.1303","3263646.85612,13690270.5749",92,90,93,91,1324.93791018,125,38254.0824472,125,3283156.30162,13658108.7958,11659.8443299,-94.93573,29.33192
126,47,IH 45,3264562.49873,13689824.8635,3263935.46039,13690358.232,"3264562.49873,13689824.8635","3263935.46039,13690358.232",85,93,86,94,823.250449859,125,37154.010478,126,3283156.30162,13658108.7958,11324.5423937,-94.93238,29.33009
127,47,IH 45,3263935.46039,13690358.232,3259646.42938,13693902.0422,"3263935.46039,13690358.232","3259646.42938,13693902.0422",93,105,94,106,5563.97606211,125,40168.4303412,127,3283156.30162,13658108.7958,12243.337568,-94.93991,29.33589
128,0,,3263137.62745,13690550.3494,3262561.7057,13690182.8249,"3263137.62745,13690550.3494","3262561.7057,13690182.8249",94,89,95,90,867.244737523,125,37900.5346345,128,3283156.30162,13658108.7958,11552.0829566,-94.93631,29.33051
129,38,GULF,3263137.62745,13690550.3494,3263394.0167,13690266.8893,"3263137.62745,13690550.3494","3263394.0167,13690266.8893",94,87,95,88,382.210747278,125,37932.9642733,129,3283156.30162,13658108.7958,11561.9675105,-94.93544,29.33105
130,38,GULF,3263738.60689,13690652.8771,3264026.04988,13690432.2811,"3263738.60689,13690652.8771","3264026.04988,13690432.2811",95,91,96,92,362.334206522,125,37728.4553236,130,3283156.30162,13658108.7958,11499.6331826,-94.93349,29.33136
131,33,FERRY,3315872.79986,13688780.4592,3315057.83988,13690801.9973,"3315872.79986,13688780.4592","3315057.83988,13690801.9973",77,96,78,97,2198.61282678,71,3930.41195571,131,3315619.25288,13693749.9397,1197.9895641,-94.77161,29.32434
132,33,FERRY,3315057.83988,13690801.9973,3315011.00008,13690841.2707,"3315057.83988,13690801.9973","3315011.00008,13690841.2707",96,161,97,162,61.1258458517,71,2986.13530444,132,3315619.25288,13693749.9397,910.174040793,-94.77301,29.32714
133,70,TEXAS CITY WYE,3264513.11945,13692335.9935,3264419.87943,13691164.4846,"3264513.11945,13692335.9935","3264419.87943,13691164.4846",97,98,98,99,1183.68486233,125,38448.5355309,133,3283204.5237,13658137.1811,11719.1136298,-94.93133,29.3346
134,70,TEXAS CITY WYE,3264419.87943,13691164.4846,3264026.04988,13690432.2811,"3264419.87943,13691164.4846","3264026.04988,13690432.2811",98,91,99,92,856.096020864,125,37716.9050701,134,3283204.5237,13658137.1811,11496.1126654,-94.93222,29.33193
